Address,City,State,Postal Code,Charging Station Location,Number Of Charge Stand
"1215 N Landing Way, Renton, WA 98057",Renton,WA,98057,"47.496923167626015, -122.19901524286342",7
"828 N 10th Pl, Renton, WA 98057",Renton,WA,98057,"47.49796697310512, -122.20468006806136",4
"3035 S 204th St, SeaTac, WA 98198",SeaTac,WA,98198,"47.41809783480728, -122.29289224819614",2
"23003 Pacific Hwy S, Des Moines, WA 98198",Des Moines,WA,98198,"47.39532681900244, -122.29581049147995",1
"1157 Central Ave N, Kent, WA 98032",Kent,WA,98032,"47.39572066252484, -122.22885865114426",6
"419 Novak Ln, Kent, WA 98032",Kent,WA,98032,"47.39427937108682, -122.22973213898675",14
"311 4th Ave N, Kent, WA 98032",Kent,WA,98032,"47.38327669799327, -122.23632051196653",7
"222 State Ave N, Kent, WA 98030",Kent,WA,98030,"47.38279615845082, -122.22916883025611",4
"24615 64th Ave S, Kent, WA 98032",Kent,WA,98032,"47.380925336234625, -122.25566194010408",2
"24437 Russell Rd, Kent, WA 98032",Kent,WA,98032,"47.38215082167982, -122.26132976189835",8
"24014 116th Ave SE, Kent, WA 98030",Kent,WA,98030,"47.38654715905561, -122.18631996933793",4
"20830 108th Ave SE, Kent, WA 98031",Kent,WA,98031,"47.415098481116026, -122.19587569064545",2
"27314 24th Ave S, Federal Way, WA 98003",Federal Way,WA,98003,"47.357211098332186, -122.30191673536417",1
"32015 Pacific Hwy S, Federal Way, WA 98003",Federal Way,WA,98003,"47.31506887351153, -122.31611684715257",12
"1101 Outlet Collection Way, Auburn, WA 98001",Auburn,WA,98001,"47.297912779734226, -122.24868767119683",24
"34520 16th Ave S, Walmart Supercenter parking lot, Federal Way, WA 98003",Federal Way,WA,98003,"47.29160138281363, -122.30858630740487",7
"35620 Pacific Hwy S, Federal Way, WA 98003",Federal Way,WA,98003,"47.282053071463565, -122.32146091012747",4
"101 Auburn Way S Safeway, Auburn, WA 98002",Auburn,WA,98002,"47.30610045533134, -122.22735549904044",8
"109 S Division St, Auburn, WA 98001",Auburn,WA,98001,"47.306360441178576, -122.23003095973404",4
"28817 Military Rd S, Federal Way, WA 98003",Federal Way,WA,98003,"47.34295894709376, -122.3023784337723",1
"1701 S 320th St, Federal Way, WA 98003",Federal Way,WA,98003,"47.313521987009025, -122.31199147047185",2
"34008 Hoyt Rd SW, Federal Way, WA 98023",Federal Way,WA,98023,"47.29695699805275, -122.38142967549057",1
"2216 N 30th St, Tacoma, WA 98403",Tacoma,WA,98403,"47.27448306352293, -122.4665737148294",4
"2201 Portland Ave E, Tacoma, WA 98421",Tacoma,WA,98421,"47.24809045169916, -122.41417083615431",6
"923 Commerce St, Tacoma, WA 98402",Tacoma,WA,98402,"47.254537544671656, -122.43877930332438",6
"1112 S M St, Tacoma, WA 98405",Tacoma,WA,98405,"47.25058146701921, -122.45518494810443",8
"1552 Market St, Tacoma, WA 98402",Tacoma,WA,98402,"47.247064705456246, -122.44029034955412",4
"2702 E D St, Tacoma, WA 98421",Tacoma,WA,98421,"47.23475420113709, -122.42928129845173",6
"2611 East E Street, Tacoma, WA 98421",Tacoma,WA,98421,"47.23839940036575, -122.4271779213471",1
"1708 E 44th St, Tacoma, WA 98404",Tacoma,WA,98404,"47.21692083942504, -122.40645894390514",2
"101 Valley Ave NW, Puyallup, WA 98371",Puyallup,WA,98371,"47.207227503339126, -122.29442185872564",4
"111 River Rd, Puyallup, WA 98371",Puyallup,WA,98371,"47.19925142663625, -122.2955139411608",4
"6621 166th Ave E, Sumner, WA 98390",Sumner,WA,98390,"47.19609776321672, -122.2070552639141",8
"13701 24th St E nUnit F, Sumner, WA 98390",Sumner,WA,98390,"47.23726613952223, -122.24582419036173",2
"2147 M.L.K. Jr Way, Tacoma, WA 98405",Tacoma,WA,98405,"47.24002813472898, -122.44875840464317",2
"3606 S Sprague Ave, Tacoma, WA 98409",Tacoma,WA,98409,"47.2251186968394, -122.46534692761804",2
"1965 S Union Ave, Tacoma, WA 98405",Tacoma,WA,98405,"47.23947630731463, -122.48017544639484",7
"Rainer Place, 2221 S 40th St, Tacoma, WA 98409",Tacoma,WA,98409,"47.22120230981145, -122.46589613201719",12
"4502 S Steele St, Tacoma, WA 98409",Tacoma,WA,98409,"47.21570022982112, -122.47083897160947",8
"Tacoma Mall, 4502 S Steele St, Tacoma, WA 98409",Tacoma,WA,98409,"47.21439456770472, -122.46671993861588",16
"Tacoma Mall Blvd #5219, Tacoma, WA 98409",Tacoma,WA,98409,"47.20973122628491, -122.46273820672211",12
